Troop ID Attribute, Troop ID Attribute
Troop ID Verified Affiliation, Troop ID Verified Affiliation
Military Family, Military Family
Military Spouse, Military Spouse
Retiree, Retiree
Service Member, Service Member
Veteran, Veteran
Military Discounts with Troop ID, Military Discounts with Troop ID
Verify your military affiliation with Troop ID, Verify your military affiliation with Troop ID
Fill in <strong>Redirect URI</strong> with, Fill in <strong>Redirect URI</strong> with
Fill in <strong>Base URI</strong> with, Fill in <strong>Base URI</strong> with

Troop ID Settings, Troop ID Settings
Application Settings, Application Settings
Enabled?, Enabled?
Sandbox Mode?, Sandbox Mode?
Client ID, Client ID
Client Secret, Client Secret
Instructions, Instructions
Troop ID Military Affiliation Verification, Troop ID Military Affiliation Verification
Create discounts on special offers exclusively for verified military members via Troop ID, Create discounts on special offers exclusively for verified military members via Troop ID
Required steps to get started, Required steps to get started
Create a developer account at, Create a developer account at
Register an application at, Register an application at
Copy and paste your Client ID and Client Secret values from your application settings on Troop ID, Copy and paste your Client ID and Client Secret values from your application settings on Troop ID
This text will be displayed as "What is this?" in your shopping cart next to Troop ID Connect button, This text will be displayed as "What is this?" in your shopping cart next to Troop ID Connect button
Troop ID verification failed, please contact the store owner, Troop ID verification failed, please contact the store owner
Unfortunately your affiliation is not verified on Troop ID, Unfortunately your affiliation is not verified on Troop ID
You have verified yourself as, You have verified yourself as
What is this?, What is this?
What is Troop ID?, What is Troop ID?
